Site,PullDate,ValidTime,Mean,Min,Max,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20,model21,model22,model23,model24,model25,model26,model27,model28,model29,model30,model31,model32,model33,model34,model35,model36,model37,model38,model39,model40,model41,model42,model43,model44,model45,model46,model47,model48,model49,model50
BroomsBarn,2022-04-07,2022-04-07T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BroomsBarn,2022-04-07,2022-04-07T01:00:00Z,0.202,0,1.4,0,0,0.1,1,1.1,0.9,0.1,0,0,0.1,0.1,0,0.4,0,0,0,0,0,0.2,0.4,0,0.3,0,0,0.1,0.5,0,0,0.3,0.5,0,0.1,0.1,0,0.3,0.2,0.5,0,0.4,0,0.1,0,0.1,1.4,0.1,0.1,0,0.2,0,0.4
BroomsBarn,2022-04-07,2022-04-07T02:00:00Z,0.742,0,2,0.6,1,0.9,1.5,1.2,2,0.7,0.5,0.2,0.7,0.4,0.6,2,0.4,0.9,0.4,1,0.4,0.7,0.7,0.3,0.8,0.7,0.3,0.7,1.7,0.9,0.3,0.6,1.3,0.4,0.5,0.3,0.2,0.6,0.3,1.1,0.1,0.6,0.5,0.3,1,1.1,1.9,0.5,0.6,0,0.7,0.4,1.6
BroomsBarn,2022-04-07,2022-04-07T03:00:00Z,1.172,0.2,2.6,1.3,1.3,1.6,1.8,0.2,1.4,1,0.8,0.6,1.6,0.5,1.5,1.9,0.8,1.4,0.6,1.5,0.7,1.4,0.9,1.2,2.4,1.4,1.1,1.1,1.9,1.9,2.3,0.7,2.6,1,1.5,0.3,0.5,1,0.6,0.9,0.2,0.4,1.3,0.9,1.6,1.4,1.4,0.6,1.8,0.2,1.3,0.8,1.5
BroomsBarn,2022-04-07,2022-04-07T04:00:00Z,2.912,1.1,5.2,2.8,4.4,2.5,4.4,1.5,3.2,3.7,3,3,2.4,2.5,3.8,1.1,2.5,2.4,2.6,2.5,1.8,2.7,2.9,3.1,4.5,3.8,3.6,3.1,2.8,3.5,4.6,2.2,5.2,4.2,4,1.2,2.8,3.4,2.5,2.4,2.3,2.4,3.1,2.7,1.9,3.3,1.9,1.6,4.1,1.9,3.6,2.4,1.8
BroomsBarn,2022-04-07,2022-04-07T05:00:00Z,3.874,1.3,6.6,4.4,6.6,2.6,4.8,2.9,4.9,6.4,4.7,4.7,1.9,3.5,6.1,1.7,3,2.6,5,3.7,2.6,2.6,3.3,3.3,3.6,4.5,3.4,4.4,3.7,4.4,3.8,4.5,5.9,5.2,4.2,2.3,4.3,5.1,3.1,3.5,4.4,4.4,3.8,2.8,1.8,5.9,1.3,2.5,4.6,4.5,5.4,2.7,2.4
BroomsBarn,2022-04-07,2022-04-07T06:00:00Z,1.62,0.3,3.2,2.3,2.5,0.9,1.7,1.6,2,3.1,2,2.2,0.5,1.2,3.2,0.9,0.9,0.7,2.6,1.7,1.1,0.8,1,1.2,1,1.5,0.6,1.8,1.6,1.9,1.2,2.9,2.6,1.6,1.3,1.3,2,2.5,1.1,1.4,2.3,2.3,1.5,0.8,0.5,3,0.3,1.1,1.8,2.8,2.6,0.7,0.9
BroomsBarn,2022-04-07,2022-04-07T07:00:00Z,0.024,0,0.2,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0.2,0.1,0,0,0.1,0.2,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
BroomsBarn,2022-04-07,2022-04-07T08:00:00Z,0,-0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
BroomsBarn,2022-04-07,2022-04-07T09:00:00Z,0.006,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0
BroomsBarn,2022-04-07,2022-04-07T10:00:00Z,0.03,0,0.2,0.1,0,0,0.1,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0.2,0,0.1,0,0,0.1,0,0,0,0.1,0.1,0,0.1,0,0.2,0,0,0
BroomsBarn,2022-04-07,2022-04-07T11:00:00Z,0.096,0,0.4,0.2,0,0.1,0.1,0.1,0,0.2,0.2,0.1,0,0,0.3,0.2,0.2,0,0.3,0,0.1,0,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0,0.1,0,0.1,0.2,0,0.1,0,0.2,0.1,0,0.1,0.2,0.3,0.1,0,0.1,0.1,0.4,0,0,0
BroomsBarn,2022-04-07,2022-04-07T12:00:00Z,0.15,0,0.5,0.2,0,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0,0,0.3,0.1,0.3,0,0.4,0,0.1,0.2,0.1,0.4,0.2,0,0.1,0,0,0.3,0.3,0.2,0.3,0,0,0.1,0,0.2,0,0.2,0.1,0.2,0.1,0.2,0.3,0,0,0.3,0.5,0.5,0,0,0
BroomsBarn,2022-04-07,2022-04-07T13:00:00Z,0.132,0,0.5,0.1,0,0,0.2,0.1,0.2,0.3,0,0.2,0,0,0.1,0,0.1,0,0.1,0.1,0,0.2,0,0.4,0.1,0.1,0.2,0,0,0.5,0.3,0.3,0.4,0.1,0,0.1,0,0.2,0,0,0.1,0.3,0,0.2,0.2,0.2,0,0.5,0.4,0.2,0.1,0,0
BroomsBarn,2022-04-07,2022-04-07T14:00:00Z,0.104,0,0.5,0,0.1,0,0.2,0,0,0.5,0,0.3,0.1,0.2,0,0,0,0,0,0.3,0,0,0,0.1,0,0.1,0.1,0,0,0.4,0.1,0.1,0.2,0.2,0.1,0,0.2,0.2,0,0.1,0,0.1,0.2,0.2,0.1,0.4,0,0.2,0,0.1,0.1,0.1,0.1
BroomsBarn,2022-04-07,2022-04-07T15:00:00Z,0.096,0,0.4,0,0.3,0,0.1,0,0,0.2,0,0.4,0.2,0.2,0,0.1,0.1,0,0,0.4,0.1,0,0.1,0,0,0,0.1,0,0,0.3,0,0.1,0,0.1,0.1,0,0.3,0.1,0.2,0.1,0.1,0,0.2,0,0,0.2,0.1,0.1,0,0.2,0.1,0.1,0.1
BroomsBarn,2022-04-07,2022-04-07T16:00:00Z,0.086,0,0.4,0,0.4,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0.1,0.3,0.1,0.1,0.3,0.1,0.1,0.1,0,0.1,0,0.1,0,0.2,0.2,0,0.1,0,0,0,0.1,0.1,0.1,0.2,0,0.2,0,0.1,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0
BroomsBarn,2022-04-07,2022-04-07T17:00:00Z,0.072,0,0.3,0,0.2,0.1,0.3,0.3,0.1,0.1,0.1,0,0,0.1,0,0,0.2,0.1,0.1,0.2,0,0.1,0,0,0.1,0,0,0,0.2,0,0.1,0,0,0.1,0,0.1,0,0.1,0,0,0.2,0.2,0.1,0,0.1,0.1,0.1,0,0,0,0,0,0.1
BroomsBarn,2022-04-07,2022-04-07T18:00:00Z,0.046,0,0.4,0,0,0.1,0.4,0.2,0,0.1,0,0,0,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0.1,0,0,0.1,0.2,0,0.2,0,0.2,0.1,0,0,0,0,0,0.1
BroomsBarn,2022-04-07,2022-04-07T19:00:00Z,0.022,0,0.2,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0
BroomsBarn,2022-04-07,2022-04-07T20:00:00Z,0.006,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BroomsBarn,2022-04-07,2022-04-07T21:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BroomsBarn,2022-04-07,2022-04-07T22:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BroomsBarn,2022-04-07,2022-04-07T23:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BroomsBarn,2022-04-07,2022-04-08T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BroomsBarn,2022-04-07,2022-04-08T01:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BroomsBarn,2022-04-07,2022-04-08T02:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
