Site,PullDate,ValidTime,Mean,Min,Max,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20,model21,model22,model23,model24,model25,model26,model27,model28,model29,model30,model31,model32,model33,model34,model35,model36,model37,model38,model39,model40,model41,model42,model43,model44,model45,model46,model47,model48,model49,model50
Cranwell,2022-01-13,2022-01-13T00:00:00Z,4.934,4.3,5.4,5.1,4.7,4.9,4.5,4.9,5,4.7,4.7,5,4.9,4.8,4.9,4.9,4.9,4.6,5,4.3,4.7,5.2,5.2,5.1,4.6,5.2,4.5,5.1,4.7,5,5.4,5,5.1,4.8,5.3,4.7,5.2,5.1,4.8,5,4.7,5.1,5.3,4.7,5,5,5,5.2,5.1,5.1,4.9,5.2,4.9
Cranwell,2022-01-13,2022-01-13T03:00:00Z,3.13,2.6,3.6,3.2,3.1,3.2,2.6,3.3,3.1,2.8,3.3,3.4,3.4,3,3.3,3,2.6,3.1,3.3,2.7,2.9,3.5,3.4,3.3,2.9,3,3.1,3.2,3,3.2,3.3,3.1,3.1,2.9,3.5,2.9,3.6,3.1,3,3.1,2.6,3.5,3.3,3.2,3,3,3.1,3.2,3.2,3.3,3.3,3.4,2.9
Cranwell,2022-01-13,2022-01-13T06:00:00Z,2.408,1.9,3.1,2.4,2.2,2.1,1.9,2.6,2.4,2.1,2.7,3.1,3.1,2.3,2.6,2.4,2.3,2.4,2.7,2.2,1.9,2.6,2.6,2.2,2,2.2,2.4,2.5,2,2.2,2.6,2.2,2.3,2.3,2.7,2.4,2.9,2.3,2.1,2.6,2.1,2.7,2.5,2.8,2.3,2.4,2.4,2.4,2.4,2.3,2.6,2.6,2.4
Cranwell,2022-01-13,2022-01-13T09:00:00Z,1.946,1.2,3.1,1.7,1.6,1.5,1.4,1.8,1.7,2,2.3,3,3.1,1.8,1.9,1.8,1.9,2,2.2,2.1,1.2,2,2,1.8,1.5,1.8,1.9,2,1.6,1.8,2.1,1.6,1.8,2,2.3,2.1,2.6,1.6,1.7,2.3,1.8,2.2,1.8,2.6,1.8,1.9,1.8,2,1.6,2,2.1,2.1,2.1
Cranwell,2022-01-13,2022-01-13T12:00:00Z,4.4,3.8,5.1,4.3,4.3,4.1,4.1,4.1,4,4.3,4.4,4.6,4.4,4.6,4.3,4.4,4.2,4.6,4.3,4,4.3,4.5,4.8,4.2,4.3,4.5,4,4.2,4.4,4.3,4.6,4.2,4.9,4.7,5.1,4.5,4.6,4.7,3.8,4.6,3.9,4.5,4.3,4.5,4.4,4.4,4.1,4.3,4.5,4.7,4.9,4.7,4.6
Cranwell,2022-01-13,2022-01-13T15:00:00Z,4.95,4.3,5.6,5.3,5.4,4.6,5.1,4.7,5.1,4.8,5,4.4,4.5,5.1,5.2,5.4,4.6,4.7,4.9,4.6,4.4,5.3,5.2,4.9,4.5,4.4,4.3,4.7,4.6,4.8,5,5.2,5.5,4.9,5.6,4.9,4.8,4.9,5,5.4,5.3,5.2,4.8,5.2,5.1,5.1,5,4.7,4.6,5,5.3,5.6,4.9
Cranwell,2022-01-13,2022-01-13T18:00:00Z,3.032,2.4,4.6,3.4,3.6,2.5,2.5,3,4,3.3,3.7,2.6,2.8,2.7,3,3,2.9,2.7,2.8,3,3.5,2.8,2.9,3,2.4,2.4,3.3,3.1,2.5,2.8,2.6,2.8,2.8,2.9,3,2.5,3.2,3.2,3,3.8,4.6,3.7,3,3.5,2.8,2.7,3,2.8,2.9,2.9,3.2,4,2.5
Cranwell,2022-01-13,2022-01-13T21:00:00Z,2.878,1.7,4.4,3,3.8,2.6,1.7,3.9,4.1,3.8,4,3.2,2.5,1.8,2.2,3.1,2.1,2.6,3,3,3.9,2.1,2.5,3.1,1.8,2.4,4.1,3,1.9,2.5,2.1,3.4,2.1,2.3,2.4,2,3.1,2.8,2.7,3.8,4.4,3.7,3.6,3.4,1.9,2.1,2.4,2.7,3.1,3.1,3.4,3.8,1.9
Cranwell,2022-01-13,2022-01-14T00:00:00Z,2.48,1,4.1,2.4,3.9,2.9,1,3.2,3.6,3.1,3.5,3.1,2.3,1.2,1.9,2.7,1.7,2.4,3.1,2.7,3.4,1.2,2.2,2.4,1.4,2.2,3.9,2.9,1.5,2.1,1.6,3.2,1.5,2.6,1.8,1.6,2.5,2.8,2.6,3.1,4.1,3.5,3,3,1,1.4,1.9,2.1,2.7,2.7,3,3.2,1.2
Cranwell,2022-01-13,2022-01-14T03:00:00Z,2.132,0.7,3.6,1.9,3.4,2.2,0.9,2.7,3.4,2.6,3,2.9,2.1,0.9,1.6,2.2,1.1,2,2.7,2.4,3.3,0.7,2.1,2.1,1.3,2,3.6,2.2,1.1,1.7,1.1,3,1.2,2.4,1.5,1.6,2.1,2.7,2.1,2.6,3.6,2.2,2.4,2.5,1.1,1.4,1.8,2,2.1,2.2,3,2.8,1.1
